category_class	label	definition	synonyms	subsets	crossreferences
MONDO:0021098	papillomatosis	Glandular or squamous cell neoplastic proliferations characterized by the formation of multiple papillary structures diffusely involving a specific anatomic site.	papillomatosis		MEDGEN:64459; NCIT:C3713; UMLS:C0205875
MONDO:0002363	papilloma	A benign epithelial neoplasm that projects above the surrounding epithelial surface and consists of villous or arborescent outgrowths of fibrovascular stroma.	papilloma (except papilloma of bladder M-81201) (morphologic abnormality); papilloma; papilloma, benign	mondo:otar	MEDGEN:10566; NCIT:C7440; NCIT:C3713; UMLS:C0030354; DOID:2615; SCTID:711329002; MESH:D010212; ICDO:8050/0
MONDO:0003443	papillary urothelial neoplasm	A neoplastic lesion of the urinary tract transitional cell epithelium characterized by papillary formations. -- 2003	urinary tract papillary transitional cell neoplasm; papillary transitional cell neoplasm of the urinary tract; urothelium papillary epithelial neoplasm; papillary urothelial neoplasm	mondo:otar	DOID:5433; MEDGEN:233837; NCIT:C27883; UMLS:C1335329
MONDO:0006350	papillary transitional cell carcinoma	A non-invasive or invasive transitional cell carcinoma characterized by a papillary growth pattern. It may occur in the bladder or the renal pelvis.	papillary transitional carcinoma; papillary transitional cell carcinoma (morphologic abnormality); papillary transitional cell carcinoma	mondo:gard_rare; mondo:rare; mondo:otar	UMLS:C0334274; EFO:1000450; MEDGEN:137736; NCIT:C4122; DOID:4012; ICDO:8130/3
MONDO:0002979	papillary squamous carcinoma	A well differentiated squamous cell carcinoma characterized by a papillary, exophytic growth pattern and hyperkeratosis. The most commonly affected anatomic sites are the larynx, penis, cervix, vagina, and vulva.	papillary squamous carcinoma; papillary epidermoid cell carcinoma; papillary epidermoid carcinoma; papillary squamous cell carcinoma	mondo:otar	MEDGEN:83115; NCIT:C4102; ICDO:8052/3; UMLS:C0334244; DOID:4385
MONDO:0021088	papillary meningioma	A WHO grade III meningioma characterized by the predominance of a perivascular pseudopapillary pattern.	papillary meningioma	mondo:gard_rare; mondo:rare	MEDGEN:463642; ICDO:9538/3; ONCOTREE:PPM; NCIT:C3904; UMLS:C3163622
MONDO:0021096	papillary epithelial neoplasm		papillary epithelial neoplasm	mondo:otar	MEDGEN:235456; UMLS:C1335324; NCIT:C8429
MONDO:0003531	papillary eccrine carcinoma		papillary eccrine carcinoma; papillary eccrine adenoma; tubular apocrine adenoma; papillary apocrine fibroadenoma	mondo:otar	SCTID:254709009; DOID:5591; MEDGEN:313149; UMLS:C1707880; NCIT:C27254
MONDO:0006349	papillary cystic neoplasm	A benign, malignant, or borderline neoplasm characterized by the presence of papillary mucinous, serous, or clear cell structures and cystic structures.	papillary cystic tumor; papillary cystic tumour; papillary cystic neoplasm	mondo:otar	EFO:1000448; MEDGEN:137749; NCIT:C4179; UMLS:C0334357
MONDO:0021091	papillary cystadenoma	A serous or mucinous benign or low malignant potential cystic epithelial neoplasm. It is characterized by the presence of glandular epithelial cells forming papillary structures.	papillary cystadenoma; cystadenoma, papillary, benign	mondo:otar	MESH:D018292; UMLS:C0010636; MEDGEN:41386; ICDO:8450/0; NCIT:C2974
MONDO:0005074	papillary cystadenocarcinoma	A malignant cystic serous or mucinous epithelial neoplasm characterized by the presence of malignant glandular epithelial cells forming papillary structures. Stromal invasion is present.	cystadenocarcinoma, papillary, malignant; papillary cystadenocarcinoma; papillary cystadenocarcinoma (morphologic abnormality); papillary cystadenocarcinoma, NOS (morphologic abnormality)	mondo:otar	MESH:D018283; MEDGEN:64635; DOID:3110; ICDO:8450/3; NCIT:C3777; EFO:0000639; UMLS:C0206700
MONDO:0002309	papillary conjunctivitis	Conjunctivitis that is characterized by the formation of papillae on the palpebral conjunctiva.			UMLS:C0854165; NCIT:C35616; DOID:2458; SCTID:416878008; MEDGEN:167698; ICD9:372.39
MONDO:0004433	papillary carcinoma of the penis	A squamous cell carcinoma that arises from the penis and is characterized by the presence of a papillary growth pattern.	papillary penile carcinoma; papillary squamous carcinoma of penis; squamous carcinoma of the penis, papillary type; papillary penile squamous carcinoma; papillary carcinoma of penis; penis papillary carcinoma; papillary carcinoma of the penis; squamous carcinoma of penis, papillary type; papillary squamous carcinoma of the penis	mondo:rare; mondo:nord_rare; mondo:gard_rare	MEDGEN:235455; UMLS:C1335322; DOID:8013; NCIT:C6983
MONDO:0006509	papillary carcinoma	A malignant epithelial neoplasm characterized by a papillary growth pattern. A papillary carcinoma may be composed of glandular cells (papillary adenocarcinoma), squamous cells (papillary squamous cell carcinoma), or transitional cells (papillary transitional cell carcinoma). Bladder carcinoma is a representative example of papillary transitional cell carcinoma.	papillary carcinoma (morphologic abnormality); papillary carcinoma; papillary carcinoma NOS (morphologic abnormality)	mondo:otar	EFO:1000646; UMLS:C0007133; DOID:3113; MEDGEN:40105; MESH:D002291; NCIT:C2927; ICDO:8050/3
MONDO:0002533	papillary adenoma	An adenoma characterized by the presence of papillary epithelial patterns.	adenoma, papillary, benign; papillary adenoma NOS (morphologic abnormality); papillary adenoma	mondo:otar	NCIT:C79951; UMLS:C0205650; DOID:3172; MEDGEN:59999
MONDO:0002512	papillary adenocarcinoma	A morphologic variant of adenocarcinoma. It is characterized by the presence of a papillary growth pattern. Representative examples include thyroid gland papillary carcinoma, invasive papillary breast carcinoma, and ovarian serous surface papillary adenocarcinoma.	papillary adenocarcinoma NOS (morphologic abnormality); papillary adenocarcinoma; adenocarcinoma, papillary, malignant; papillary adenocarcinoma (morphologic abnormality)	mondo:otar	ICDO:8260/3; NCIT:C2853; DOID:3112; UMLS:C0001420; MEDGEN:123; MESH:D000231
MONDO:0017255	panuveitis	A disorder characterized by inflammation of the entire uvea which includes the iris, ciliary body, and choroid. Causes include systemic infections, sarcoidosis, and cancers.	total uveitis; panuveitis (disease); panuveitis; diffuse uveitis	mondo:disease_grouping; mondo:otar; mondo:ordo_group_of_disorders; mondo:gard_rare; mondo:rare	UMLS:C0030343; MESH:D015864; EFO:1001082; NCIT:C84989; GARD:8577; ICD9:360.12; HP:0012121; Orphanet:280898; icd11.foundation:1125547814; MedDRA:10033687; SCTID:75614007; MEDGEN:45303; DOID:12030
MONDO:0006591	panniculitis	Inflammation of the subcutaneous adipose tissue.	Subcutaneous adipose tissue; Subcutaneous tissue; subcutaneous adipose tissue inflammation; subcutis; inflammation of subcutaneous adipose tissue	mondo:otar	ICD9:729.39; UMLS:C0030326; ICD9:729.30; SCTID:22125009; NCIT:C33645; Wikipedia:Panniculitis; DOID:1526; ICD9:729.3; EFO:1000746; MESH:D015434; MEDGEN:45301
MONDO:0005383	panic disorder	An anxiety disorder characterized by multiple unexpected panic attacks with persistent concern of recurring attacks. Panic disorder may or may not be accompanied by agoraphobia.	panic anxiety syndrome	mondo:otar	NCIT:C34890; DOID:594; MESH:D016584; UMLS:C0030319; ICD9:300.01; EFO:0004262; SCTID:371631005; MEDGEN:14588
MONDO:0004982	pancreatitis	Inflammation of the pancreas.	pancreas inflammation; inflammation of pancreas	mondo:otar	DOID:4989; EFO:0000278; NCIT:C3306; MEDGEN:14586; UMLS:C0030305; SCTID:75694006; MESH:D010195
MONDO:0002810	pancreatic serous cystic neoplasm	A benign or malignant epithelial neoplasm that is usually cystic and arises from the exocrine pancreas. It is characterized by the presence of neoplastic epithelial cells that produce fluid similar to serum. Representative examples include serous cystadenoma and serous cystadenocarcinoma.	pancreatic serous neoplasm; pancreatic serous cystic neoplasm		MEDGEN:274122; DOID:3919; NCIT:C41248; UMLS:C1518875
MONDO:0021535	pancreatic neuroendocrine tumor G1	A low grade well differentiated tumor with neuroendocrine differentiation that arises from the pancreas. The mitotic count is less than 2 per 10 HPF and/or the Ki67 index is equal or less than 2%.	pancreas carcinoid tumour; pancreatic neuroendocrine tumor G1; grade 1 neuroendocrine neoplasm of pancreas; pancreas neuroendocrine neoplasm G1; pancreas NET G1; pancreas carcinoid tumor; pancreas neuroendocrine tumor, well differentiated, low grade; pancreatic NET G1	mondo:rare; mondo:gard_rare	SCTID:254613007; MEDGEN:459467; UMLS:C2987241; NCIT:C95584
MONDO:0019954	pancreatic neuroendocrine tumor	Pancreatic endocrine tumor, also known as pancreatic neuroendocrine tumor (PNET), describes a group of endocrine tumors originating in the pancreas that are usually indolent and benign, but may have the potential to be malignant. They can be functional, exhibiting a hormonal hypersecretion syndrome, but can be non-functional presenting with non-specific symptoms and include insulinoma, glucagonoma, VIPoma, somatostatinoma (SSoma), PPoma and Zollinger-Ellison syndrome (ZES, or gastrinoma) and other ectopic hormone producing tumors (such as GRFoma).	pancreatic NET; well differentiated pancreatic endocrine neoplasm; well-differentiated NEN of pancreas; well differentiated pancreatic endocrine tumour; islet cell tumours - pancreas; islet cell tumors of the pancreas; pancreatic neuroendocrine tumor; islet cell tumour; islet cell tumours of the pancreas; well-differentiated pancreatic NEN; well differentiated pancreatic endocrine tumor; islet cell tumors - pancreas; well-differentiated pancreatic neuroendocrine neoplasm; well-differentiated neuroendocrine neoplasm of pancreas; islet cell tumor	mondo:ordo_group_of_disorders; mondo:disease_grouping; mondo:gard_rare; mondo:rare; mondo:otar	MEDGEN:277875; Orphanet:97253; UMLS:C1337011; ONCOTREE:PANET; ICDO:8150/1; NCIT:C27720; EFO:1000045; GARD:13034
MONDO:0005815	pancreatic neuroendocrine neoplasm	A neoplasm with neuroendocrine differentiation that arises from the pancreas. It includes neuroendocrine tumors (low and intermediate grade) and neuroendocrine carcinomas (high grade).	endocrine pancreas neoplasm; endocrine pancreas neoplasm (disease); malignant tumor of endocrine pancreas; endocrine pancreas tumor; endocrine pancreas tumour; tumour of endocrine pancreas; pancreatic neuroendocrine neoplasm; pancreatic endocrine neoplasm; tumor of endocrine pancreas; PNEN; pancreatic NEN; malignant tumour of endocrine pancreas; neoplasm of endocrine pancreas	mondo:disease_grouping; mondo:rare; mondo:otar; mondo:gard_rare; mondo:ordo_group_of_disorders	EFO:0007331; Orphanet:506052; NCIT:C27031; SCTID:254611009; DOID:1799; icd11.foundation:1421495979; ICDO:8150/1; GARD:22052
MONDO:0021040	pancreatic neoplasm	A benign or malignant neoplasm involving the pancreas.	pancreas neoplasm (disease); pancreas tumour; tumour of pancreas; tumor of the pancreas; tumour of the pancreas; pancreas tumor; neoplasm of the pancreas; pancreatic tumor; tumor of pancreas; neoplasm of pancreas; pancreas neoplasm; pancreatic tumour; pancreatic neoplasm	mondo:otar	SCTID:126859007; UMLS:C0030297; NCIT:C3305; ONCOTREE:PANCREAS; MESH:D010190; MEDGEN:18279; EFO:0003860
MONDO:0004156	pancreatic mucinous cystadenocarcinoma	A mucinous cystadenocarcinoma that involves the pancreas.	mucinous Cystadencarcinoma of pancreas; pancreatic colloidal Cystadencarcinoma; colloid Cystadencarcinoma of pancreas; colloid Cystadencarcinoma of the pancreas; pancreatic mucinous cystadenocarcinoma; colloidal Cystadencarcinoma of the pancreas; pancreatic colloid Cystadencarcinoma; colloidal Cystadencarcinoma of pancreas; mucinous Cystadencarcinoma of the pancreas		NCIT:C5713; UMLS:C2063873; MEDGEN:1433902; DOID:7234
MONDO:0004286	pancreatic intraductal papillary-mucinous neoplasm	A usually slow-growing epithelial neoplasm with ductal differentiation that arises from the exocrine pancreas and grows mostly within the pancreatic ducts. Grossly, it is characterized by the presence of intraductal masses. Morphologically, there is proliferation of mucin-producing cells within the pancreatic ducts, intraductal accumulation of mucin, and a papillary growth pattern. It may be associated with the presence of an invasive carcinoma. It usually occurs in older patients. Signs and symptoms include epigastric pain, weight loss, jaundice, chronic pancreatitis, and diabetes mellitus.	pancreatic intraductal papillary-mucinous tumour; pancreatic intraductal papillary-mucinous tumor; pancreatic IPMN; IPMN; pancreatic intraductal papillary-mucinous neoplasm		DOID:7575; NCIT:C38342; UMLS:C4511687; MEDGEN:1373306; ONCOTREE:IPMN
MONDO:0003525	pancreatic gastrin-producing neuroendocrine tumor	A usually malignant gastrin-producing neuroendocrine tumor arising from the pancreas. It may or may not be associated with inappropriate secretion of gastrin and an associated clinical syndrome.	gastrin-producing neuroendocrine tumor of pancreas; pancreas gastrin-producing neuroendocrine tumour; pancreatic gastrin producing tumor; pancreas gastrin-producing neuroendocrine tumor; pancreatic gastrin-producing neuroendocrine tumor; pancreatic gastrin producing NET; pancreatic G-cell tumor; pancreatic gastrin producing tumour; gastrin-producing neuroendocrine tumour of pancreas; pancreatic G-cell tumour	mondo:gard_rare; mondo:rare	UMLS:C1368066; MESH:D015408; MEDGEN:235080; DOID:5580; NCIT:C9069
MONDO:0021076	pancreatic exocrine neoplasm	A benign or malignant neoplasm that arises from the epithelial cells of the exocrine pancreatic tissue.	pancreatic exocrine neoplasm; exocrine pancreas neoplasm (disease); neoplasm of the exocrine pancreas; neoplasm of exocrine pancreas; pancreatic exocrine tumor; exocrine pancreas neoplasm; pancreatic exocrine tumour; tumor of the exocrine pancreas; tumour of the exocrine pancreas; exocrine pancreas tumor; exocrine pancreas tumour; tumor of exocrine pancreas; tumour of exocrine pancreas	mondo:otar	NCIT:C4445; MEDGEN:138030; ICD9:235.5; UMLS:C0345920; SCTID:254604005
MONDO:0005184	pancreatic ductal adenocarcinoma	An infiltrating adenocarcinoma that arises from the epithelial cells of the pancreas. It affects males more often than females and the patients are usually over 50 years of age. Microscopically it is characterized by the presence of glandular (ductal) differentiation and desmoplastic stroma formation. Signs and symptoms include pain, loss of weight, and jaundice. It grows rapidly and is usually detected after it has metastasized to other anatomic sites. The prognosis is usually poor.	pancreatic tubular adenocarcinoma; malignant neoplasm of duct of Wirsung; pancreas tubular adenocarcinoma; ductal adenocarcinoma of the pancreas; pancreatic ductal adenocarcinoma; pancreatic duct cancer; pancreatic duct adenocarcinoma; ductal adenocarcinoma of pancreas; pancreatic ductal carcinoma; pancreas ductal adenocarcinoma	mondo:otar	MESH:D021441; DOID:3498; EFO:0002517; UMLS:C1335302; DOID:3587; MEDGEN:277490; ICD9:157.3; NCIT:C9120
MONDO:0002994	pancreatic delta cell neuroendocrine tumor	A usually malignant neuroendocrine tumor arising from the delta cells of the pancreas. It may be associated with inappropriate secretion of somatostatin and an associated clinical syndrome, or it may be hormonally inactive (non-functioning).	pancreatic delta cell neoplasm; pancreatic Delta cell NET; pancreatic Delta cell neoplasm; pancreatic Delta cell neuroendocrine tumour; pancreatic Delta cell tumor; pancreatic Delta cell tumour; pancreatic Delta cell neuroendocrine tumor	mondo:rare; mondo:gard_rare	NCIT:C28396; MEDGEN:233303; UMLS:C1335301; DOID:4433
MONDO:0002809	pancreatic cystadenoma	A non-metastasizing cystic epithelial neoplasm arising from the exocrine pancreas.	pancreatic cystadenoma; cystadenoma of pancreas; cystadenoma of the pancreas; exocrine pancreas cystadenoma		SCTID:235967003; MEDGEN:90963; DOID:3918; NCIT:C4374; UMLS:C0341486
MONDO:0002867	pancreatic cystadenocarcinoma	A cystic adenocarcinoma that arises from the pancreas. It includes the acinar cell and serous cystadenocarcinoma subtypes.	pancreatic cystadenocarcinoma; cystadenocarcinoma - pancreas; cystadenocarcinoma of pancreas; pancreas cystadenocarcinoma; cystadenocarcinoma of the pancreas		UMLS:C0238337; DOID:4073; NCIT:C3874; MEDGEN:66767; SCTID:235966007
MONDO:0006047	pancreatic adenocarcinoma	A carcinoma that arises from glandular epithelial cells of the pancreas	adenocarcinoma of the pancreas; pancreas adenocarcinoma; adenocarcinoma of pancreas; adenocarcinoma - pancreas; pancreatic adenocarcinoma	mondo:otar	DOID:4074; SCTID:700423003; EFO:1000044; MEDGEN:83800; NCIT:C8294; ONCOTREE:PAAD; UMLS:C0281361
MONDO:0002114	pancreas lymphoma	A lymphoma that arises from the pancreas with the bulk of the tumor localized to this organ. The vast majority of cases are non-Hodgkin lymphomas of B-cell phenotype and include mucosa-associated lymphoid tissue lymphomas, follicular lymphomas, and diffuse large B-cell lymphomas.	pancreas lymphoma; lymphoma of pancreas; pancreatic lymphoma; lymphoma of the pancreas	mondo:gard_rare; mondo:nord_rare; mondo:rare	UMLS:C1335307; MEDGEN:233304; NCIT:C5714; DOID:1792
MONDO:0002356	pancreas disorder	A non-neoplastic or neoplastic disorder that affects the pancreas. Representative examples of non-neoplastic disorders include pancreatitis and pancreatic insufficiency. Representative examples of neoplastic disorders include cystadenomas, carcinomas, lymphomas, and neuroendocrine neoplasms.	disease or disorder of pancreas; disease of pancreas; pancreatic disorder; pancreas disease; pancreas disease or disorder; disorder of pancreas	mondo:rare_grouping; mondo:otar	NCIT:C26842; SCTID:3855007; MEDGEN:14583; UMLS:C0030286; EFO:0009605; MESH:D010182; ICD9:577.9; ICD9:577.8; DOID:26
MONDO:0006496	palsy	A general term most often used to describe severe or complete loss of muscle strength due to motor system disease from the level of the cerebral cortex to the muscle fiber. This term may also occasionally refer to a loss of sensory function. (From Adams et al., Principles of Neurology, 6th ed, p45)	Plegias; Plegia	mondo:otar	ICD10CM:G80-G83; MESH:D010243; EFO:1000631; UMLS:C3887651; MEDGEN:854494; Wikipedia:Palsy
MONDO:0020179	palpebral nevus	A melanocytic nevus that involves the skin of eyelid.	melanocytic nevus of skin of eyelid; eyelid nevus; nevus of eyelid; nevus of the eyelid; skin of eyelid melanocytic nevus	mondo:disease_grouping; mondo:otar	MEDGEN:65985; UMLS:C0239460; Orphanet:98588; SCTID:231827008; NCIT:C3880
MONDO:0020172	palpebral epidermal tumor	A neoplasm (disease) that involves the skin of eyelid.	skin of eyelid neoplasm; tumor of skin of eyelid; tumour of skin of eyelid; skin of eyelid tumor; skin of eyelid tumour; neoplasm of skin of eyelid; skin of eyelid neoplasm (disease)	mondo:disease_grouping	SCTID:126499002; Orphanet:98581; UMLS:C1290083; MEDGEN:712469
MONDO:0006590	palmoplantar keratosis	A group of autosomal dominant, autosomal recessive, X-linked inherited or acquired disorders characterized by the thickening of the palms and soles due to hyperkeratosis.	keratosis palmaris et plantaris; palmoplantar keratoderma	mondo:otar	UMLS:C0022596; DOID:3390; ICD9:757.39; SCTID:706885006; NCIT:C34748; EFO:1000745; MEDGEN:44017
MONDO:0968949	palmoplantar keratoderma, epidermolytic			mondo:gard_rare; mondo:rare	OMIMPS:144200; MEDGEN:354561; UMLS:C1721006
MONDO:0005286	palatal neoplasm	A benign or malignant neoplasm that affects the hard palate, soft palate, or uvula.	neoplasm of secondary palate; tumour of secondary palate; tumour of palate; palate tumour; tumor of the palate; tumor of palate; secondary palate tumour; palate tumor; neoplasm of the palate; palate neoplasm; tumor of secondary palate; secondary palate neoplasm; tumour of the palate; secondary palate tumor; secondary palate neoplasm (disease); neoplasm of palate	mondo:otar	SCTID:126805009; EFO:0003849; NCIT:C4402; UMLS:C0030215; MESH:D010157; MEDGEN:14576
MONDO:0003916	overnutrition	An imbalanced nutritional status resulting from excessive intake of nutrients. Generally, overnutrition generates an energy imbalance between food consumption and energy expenditure leading to disorders such as obesity.		mondo:otar	MESH:D044343; ICD9:278.8; MEDGEN:219760; UMLS:C1257763; DOID:654; SCTID:302872003
MONDO:0016663	overlapping connective tissue disease			mondo:disease_grouping; mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:rare; mondo:otar	GARD:20696; Orphanet:251312; MedDRA:10027754
MONDO:0100283	overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes	A disease caused by mosaic gain-of-function (GoF) of several genes in the MTOR pathway (MTOR, PIK3CA, PIK3R2 and AKT3) are functionally the same despite significant phenotypic variability. These GoF variants result in overgrowth due to an over-activation of key genes in this pathway. The phenotypic variability is generally attributed to the mosaic fraction and affected tissue types. For example, macrocephaly is noted if the variant is identified in the brain, but non symmetric overgrowth of that limb is noted when the variant is only present in the affected limb. The pathologies of the affected tissue often reveal similar characteristics such as cellular overgrowth. However, this is not always the case especially with focal cortical dysplasia. At times the characteristics pathologies are not present in the tissue but sampling biases are an issue. FCD resections often involve a very small area and so a very small amount of tissue is available for pathology and it is not guaranteed that lesional tissue is sent. Therefore, having a single disease term which can encompass the phenotypic variability yet provide a unifying molecular diagnosis name makes sense given the common functional mechanism.	overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes	mondo:otar; mondo:clingen; mondo:rare; mondo:gard_rare	
MONDO:0019716	overgrowth syndrome	A group of syndromes caused by genetic birth defects that may lead to the development of malignancies. It is characterized by a large body size or large body parts at birth, or excessive body growth early in childhood. Representative examples include neurofibromatosis, Beckwith-Wiedemann syndrome, and Sturge-Weber syndrome.		mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:otar; mondo:rare; mondo:disease_grouping	icd11.foundation:2113355045; MEDGEN:458929; GARD:19213; NCIT:C94828; UMLS:C2986703; Orphanet:93460
MONDO:0006344	ovarian yolk sac tumor	A usually rapidly growing malignant germ cell tumor arising from the ovary. It usually occurs in children and adolescents. Signs and symptoms include abdominal pain and a large abdominal or pelvic mass. The serum alpha-fetoprotein is almost always elevated preoperatively. Morphologically, there is marked heterogeneity due to numerous patterns of differentiation coexisting in the same tumor. The most common pattern is reticular.	yolk Sac neoplasm of ovary; endodermal sinus neoplasm of the ovary; endodermal sinus tumor of the ovary; yolk Sac tumor of the ovary; ovarian yolk sac tumor; ovarian germ cell endodermal sinus neoplasm; endodermal sinus tumour of ovary; ovary yolk sac tumour; ovarian germ cell endodermal sinus tumour; germ cell endodermal sinus neoplasm of the ovary; germ cell endodermal sinus tumor of the ovary; ovarian germ cell endodermal sinus tumor; germ cell endodermal sinus tumor of ovary; ovary yolk sac tumor; ovarian endodermal sinus neoplasm; ovarian endodermal sinus tumour; germ cell endodermal sinus tumour of ovary; yolk Sac tumour of ovary; germ cell endodermal sinus tumour of the ovary; endodermal sinus tumour of the ovary; ovarian endodermal sinus tumor; endodermal sinus neoplasm of ovary; germ cell endodermal sinus neoplasm of ovary; ovarian yolk Sac neoplasm; yolk Sac tumour of the ovary; yolk Sac neoplasm of the ovary; endodermal sinus tumor of ovary; yolk Sac tumor of ovary	mondo:gard_rare; mondo:rare; mondo:otar	DOID:5350; UMLS:C0346188; EFO:1000437; SCTID:254876005; ONCOTREE:OYST; NCIT:C8107; MEDGEN:83415
MONDO:0005602	ovarian teratoma	A non-seminomatous germ cell tumor arising from the ovary. It is characterized by the presence of various tissues which correspond to the different germinal layers (endoderm, mesoderm, and ectoderm). According to the level of differentiation of the tissues which comprise the tumor, ovarian teratomas are classified as mature or immature. Mature teratomas are composed of well differentiated, adult-type tissues. Immature teratomas are composed of immature, fetal type-tissues. Mature ovarian teratomas without a fetal-type component have an excellent outcome. The prognosis of immature ovarian teratomas is related to the grade and stage of the tumor.	ovarian germ cell teratoma; teratoma of ovary; germ cell teratoma of the ovary; germ cell teratoma of ovary; ovarian teratoma; teratoma of the ovary	mondo:rare; mondo:gard_rare; mondo:otar	SCTID:716077006; NCIT:C8110; DOID:5567; UMLS:C0280131; MEDGEN:76072; EFO:0006463
MONDO:0003495	ovarian squamous cell neoplasm	A squamous cell tumor that arises from the ovary and is not associated with a germ cell tumor.	ovarian squamous cell tumour; ovarian squamous cell neoplasm; ovary squamous cell neoplasm; ovarian squamous cell tumor		NCIT:C40092; DOID:5532
MONDO:0021657	ovarian sex cord-stromal tumor	A benign or malignant neoplasm that arises from the ovary and is composed of granulosa cells, Sertoli cells, Leydig cells, theca cells, and fibroblasts. Representative examples include thecoma, fibroma, Sertoli cell tumor, and granulosa cell tumor.	Sex cord-stromal tumor of ovary; Sex cord-stromal tumour of the ovary; ovarian Sex cord-stromal tumor; ovarian Sex cord-stromal neoplasm; Sex cord-stromal tumour of ovary; sex cord-stromal tumour of ovary; sex cord-stromal tumor of ovary; ovary sex cord-stromal tumor; ovarian Sex cord-stromal tumour; Sex cord-stromal neoplasm of ovary; ovary sex cord-stromal tumour; Sex cord-stromal neoplasm of the ovary; Sex cord-stromal tumor of the ovary	mondo:otar	DOID:0080369; ONCOTREE:SCST; NCIT:C4862; MEDGEN:154644; UMLS:C0600113
MONDO:0020807	ovarian sertoli-stromal cell tumor	A sex cord-stromal tumor that arises from the ovary and is composed entirely of, or in various combinations of, Sertoli cells, Leydig cells, and fibroblast-like cells.	Ovarian Sertoli-Stromal Tumor; Ovarian Sertoli-Stromal Cell Tumour; Ovarian Sertoli-Stromal Cell Tumor; Ovarian Sertoli-Stromal Tumour		UMLS:C1518732; NCIT:C39966; MEDGEN:309515
MONDO:0037255	ovarian serous tumor	A benign, borderline, or malignant epithelial tumor of the ovary characterized by the presence of neoplastic epithelial cells that, in well differentiated tumors, resemble the epithelial cells of the fallopian tube and, in poorly differentiated tumors, show anaplastic features. Approximately thirty to fifty percent of the tumors are bilateral. Grossly, the better differentiated tumors consist of cystic masses, usually unilocular, containing a clear but sometimes viscous fluid. Papillary formations are often present. The more malignant tumors tend to be solid and invasive, with areas of necrosis and hemorrhage.	serous tumour of the ovary; serous tumor of ovary; ovarian serous neoplasm; serous tumor of the ovary; serous neoplasm of the ovary; ovarian serous tumor; serous neoplasm of ovary; serous tumour of ovary	mondo:otar	MEDGEN:141653; NCIT:C8431; UMLS:C0476122
MONDO:0006340	ovarian serous adenofibroma	A benign neoplasm of the ovary characterized by the presence of glands with serous epithelial cells in a fibrotic stroma.	ovarian serous adenofibroma; serous adenofibroma of ovary; ovary serous adenofibroma	mondo:otar	DOID:5474; MEDGEN:309514; EFO:1000428; UMLS:C1518729; NCIT:C40031
MONDO:0005211	ovarian serous adenocarcinoma	An adenocarcinoma that arises from the ovary and is characterized by the presence of malignant epithelial cells that, in well differentiated tumors, resemble the epithelium of the fallopian tube or, in poorly differentiated tumors, show anaplastic features and marked nuclear atypia.	ovarian serous carcinoma; serous carcinoma of the ovary; ovarian serous adenocarcinoma; serous adenocarcinoma of ovary; ovary serous adenocarcinoma; serous carcinoma of ovary; serous adenocarcinoma of the ovary	mondo:gard_rare; mondo:rare; mondo:otar	DOID:0050933; DOID:5744; ONCOTREE:SOC; NCIT:C7550; UMLS:C1335177; EFO:0002917; MEDGEN:233278
MONDO:0003811	ovarian seromucinous tumor	A benign, borderline, or malignant mixed epithelial tumor of the ovary. It is characterized by the presence of more than one epithelial cell type, most often serous and endocervical-type mucinous.	mixed epithelial tumor of the ovary; ovarian Seromucinous tumour; ovarian mixed epithelial tumor; mixed epithelial tumour of the ovary; ovarian mixed epithelial neoplasm; ovarian mixed epithelial tumour; mixed epithelial tumour of ovary; mixed epithelial neoplasm of ovary; mixed epithelial tumor of ovary; ovarian Seromucinous tumor; mixed epithelial neoplasm of the ovary		NCIT:C4508; SCTID:254855000; UMLS:C0346166; MEDGEN:83409; DOID:6211
MONDO:0002225	ovarian sarcoma	A rare, aggressive malignant mesenchymal neoplasm that arises from the ovary. The prognosis is poor.	sarcoma of ovary; ovarian sarcoma; ovary sarcoma; sarcoma of the ovary	mondo:rare; mondo:otar; mondo:gard_rare	DOID:2146; NCIT:C8267; MEDGEN:128881; UMLS:C0280746; SCTID:423627007
MONDO:0003408	ovarian primitive germ cell tumor	A malignant tumor that arises from the ovary and is characterized by the presence of malignant germ cell components but lacks a teratoma component.	ovarian primitive germ cell tumor	mondo:otar; mondo:rare; mondo:gard_rare	UMLS:C1518727; MEDGEN:275291; DOID:5351; NCIT:C39986
MONDO:0003813	ovarian papillary tumor	A benign, borderline, or malignant epithelial tumor that arises from the ovary and is characterized by the presence of papillary proliferations. Representative examples include surface papilloma, borderline serous surface papillary tumor, and serous surface papillary adenocarcinoma.	ovarian papillary neoplasm; papillary tumour of ovary; ovarian papillary tumor; papillary tumor of ovary; papillary tumour of the ovary; papillary neoplasm of the ovary; papillary tumor of the ovary; papillary neoplasm of ovary; ovarian papillary tumour (morphologic abnormality); ovarian papillary tumor (morphologic abnormality)		UMLS:C0476121; MEDGEN:99195; NCIT:C8430; DOID:6214
